Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Time
UNet_C64_1e-4,120,cosine,0.20000000000000004,0.0013036538807554515,0.001537921181685912,6.738116,0.016603817881407225,1.0,0.004317358158252857
UNet_C128_5e-4,100,cosine,0.20000000000000004,0.001493576705979649,0.0016566156609527146,6.0252385,0.018456698400108336,1.0,0.0032406228780746463
UNet_C256_5e-4,100,cosine,0.20000000000000004,0.001499740803046734,0.0016830144436486684,6.0429487,0.01848202854845586,1.0,0.007583039800326029
Conv1D_C128_1e-3,100,cosine,0.20000000000000004,0.0015106230758101446,0.0016947353307235364,6.058615,0.018486908067356606,1.0,0.0037463130553563435
Conv1D_C32_5e-4,120,cosine,0.20000000000000004,0.0017362536998526022,0.0017025278982085487,7.4766855,0.01753582147475199,1.0,0.004083722079241718
Conv1D_C128_5e-4,100,cosine,0.20000000000000004,0.001577250122403105,0.0017592043885573125,6.2006135,0.018485220476886804,1.0,0.0037037674585978187
UNet_C64_1e-4,100,cosine,0.20000000000000004,0.0016294406105347055,0.0017850483862760788,6.290373,0.0185981546836069,1.0,0.0033676103750864663
Conv1D_C32_5e-4,100,cosine,0.20000000000000004,0.001929083630955709,0.0018168275081552564,7.98036,0.018877139830267637,1.0,0.003594669765896267
UNet_C256_5e-4,80,cosine,0.20000000000000004,0.001752452061822017,0.0019212692748988046,6.5993967,0.019838119351804642,1.0,0.002245664199193319
UNet_C128_5e-4,80,cosine,0.20000000000000004,0.0017495198018150405,0.0019306303473422305,6.56078,0.019717634834682272,1.0,0.001977093418439229
Conv1D_C128_1e-3,80,cosine,0.20000000000000004,0.0017968506829458334,0.001944896160857752,6.9688177,0.018691434688708493,1.0,0.0012997107278733026
UNet_C64_1e-4,80,cosine,0.20000000000000004,0.0018899350213177968,0.001973813693039119,6.8031077,0.020194986402556667,1.0,0.0018684335549672443
Conv1D_C128_5e-4,80,cosine,0.20000000000000004,0.0018193046501255594,0.001979895442297372,8.531363,0.01835448908731593,1.0,0.0020374729235967002
Conv1D_C32_5e-4,80,cosine,0.20000000000000004,0.0023042245241554657,0.00220707023399882,8.946925,0.020388582537188112,1.0,0.0024204833419234663
MLP_C256_1e-3,100,linear,0.5333333333333333,0.006699718419307222,0.006699718419307222,45.971466,0.03329292328458412,1.0,0.0008702437082926431
MLP_C256_1e-3,80,linear,0.20000000000000004,0.007538583024715384,0.006949483714997768,16.480566,0.039733018885274,1.0,0.0002075535456339518
MLP_C256_5e-4,80,linear,0.20000000000000004,0.009364351992495358,0.008323687150453528,18.36684,0.04484045801219702,1.0,0.00019096628824869793
MLP_C256_1e-3,100,linear,0.20000000000000004,0.010331625340816875,0.009151256217931707,15.065391,0.046783508181574056,1.0,0.0011527891512270328
MLP_C256_5e-4,100,linear,0.20000000000000004,0.012007764350312452,0.010847894155109922,20.798061,0.04962186263589937,1.0,0.001212324301401774
MLP_C256_1e-4,80,linear,0.20000000000000004,0.013439186853667101,0.012461788694684704,21.898188,0.05262345340476595,1.0,0.00019410069783528647
MLP_C256_1e-3,120,linear,0.20000000000000004,0.015513569839919606,0.014390930688629545,23.800877,0.0568936671633141,1.0,0.0014280068079630533
MLP_C256_1e-4,100,linear,0.20000000000000004,0.01621011316900452,0.014825537940487264,24.216753,0.05731986384808563,1.0,0.0012135376930236816
MLP_C256_1e-3,100,cosine,0.39999999999999997,0.015844015358015894,0.015844015358015894,70.20049,0.05803869765843047,1.0,0.0007652076085408528
MLP_C256_5e-4,120,linear,0.20000000000000004,0.017342675706992546,0.016059638339405262,25.20352,0.05994623637253884,1.0,0.0014376524289449054
MLP_C256_1e-4,120,linear,0.20000000000000004,0.020651628540207943,0.019923991700634358,27.560934,0.06436338920617901,1.0,0.0014187563260396323
MLP_C256_1e-3,80,cosine,0.20000000000000004,0.020847347772059342,0.020123026004681983,27.794367,0.06256150424887294,1.0,0.00019562768936157225
MLP_C256_1e-3,100,cosine,0.20000000000000004,0.02297968895209056,0.020590312785158552,22.353006,0.06741754744452708,1.0,0.001117382049560547
MLP_C256_1e-3,120,cosine,0.3,0.02137364030815661,0.02137364030815661,82.53847,0.07188804382445445,1.0,0.0008022896448771159
MLP_C256_5e-4,100,cosine,0.20000000000000004,0.029408715003480513,0.027417086275915305,32.55877,0.07577482607720572,1.0,0.0011673725446065268
MLP_C256_5e-4,80,cosine,0.20000000000000004,0.029421341756358743,0.027609662053485712,32.7262,0.07634225112931688,1.0,0.00020120445887247723
MLP_C256_1e-3,120,cosine,0.25,0.028928929790854454,0.028928929790854454,18.928417,0.09790326070865073,1.0,0.0010828574498494465
MLP_C32_1e-4,80,linear,0.20000000000000004,0.031328294869512316,0.031305947608004016,34.80839,0.07727133771224234,1.0,0.00046394650141398116
MLP_C256_1e-3,120,cosine,0.20000000000000004,0.03351912098005414,0.03133654888098439,28.691956,0.07822423713334137,1.0,0.001439886490503947
MLP_C256_5e-4,120,cosine,0.20000000000000004,0.036025541012485826,0.034367269085099295,36.573685,0.08537206875508958,1.0,0.001410841464996338
MLP_C256_1e-4,80,cosine,0.20000000000000004,0.0389087744615972,0.036289125718176364,37.79053,0.0879446007202901,1.0,0.00018477121988932292
MLP_C256_1e-4,100,cosine,0.20000000000000004,0.0395711379237473,0.036788163135449095,38.117577,0.08876711063993298,1.0,0.001159730593363444
MLP_C32_1e-4,100,linear,0.20000000000000004,0.038776857394725084,0.038691399861127136,38.680103,0.08613939147319843,1.0,0.00033130534489949547
MLP_C256_1e-4,120,cosine,0.20000000000000004,0.04294104989245534,0.04086815804243088,40.388084,0.09318316772850188,1.0,0.0014585588773091635
